Antrenör,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Antrenor Kısaltması
İBRAHİM BEKİROĞULLARI,5345.0,1053.0,830.0,655.0,605.0,525.0,20.0,16.0,12.0,11.0,10.0,İ.BEKİROĞULLARI
KAZIM YILDIZ,6865.0,590.0,603.0,575.0,670.0,693.0,9.0,9.0,8.0,10.0,10.0,K.YILDIZ
ŞEFİK AYDEMİR,3971.0,574.0,464.0,447.0,435.0,419.0,14.0,12.0,11.0,11.0,11.0,Ş.AYDEMİR
SERDAR VEYSEL KAYA,5989.0,570.0,603.0,560.0,570.0,564.0,10.0,10.0,9.0,10.0,9.0,S.V.KAYA
ADEM GÜVEN,4729.0,525.0,508.0,552.0,475.0,475.0,11.0,11.0,12.0,10.0,10.0,A.GÜVEN
ABDULLAH TEMİZER,5832.0,519.0,567.0,530.0,480.0,532.0,9.0,10.0,9.0,8.0,9.0,A.TEMİZER
AHMET AKBULUT,3902.0,515.0,467.0,469.0,419.0,387.0,13.0,12.0,12.0,11.0,10.0,A.AKBULUT
MEHMET KAYA,5520.0,503.0,546.0,561.0,578.0,554.0,9.0,10.0,10.0,10.0,10.0,M.KAYA
CUMA DEMİR,3523.0,486.0,475.0,425.0,413.0,346.0,14.0,13.0,12.0,12.0,10.0,C.DEMİR
KAMİL ARDA,3157.0,484.0,390.0,355.0,342.0,315.0,15.0,12.0,11.0,11.0,10.0,K.ARDA
SABRİ ARSLAN,4520.0,476.0,473.0,453.0,512.0,409.0,11.0,10.0,10.0,11.0,9.0,S.ARSLAN
AHMET ELÇİN KARAKURT,4669.0,472.0,464.0,459.0,474.0,462.0,10.0,10.0,10.0,10.0,10.0,A.E.KARAKURT
ENVER MUTLU,5076.0,451.0,466.0,499.0,478.0,528.0,9.0,9.0,10.0,9.0,10.0,E.MUTLU
HAKAN CANSU,5808.0,444.0,486.0,525.0,518.0,560.0,8.0,8.0,9.0,9.0,10.0,H.CANSU
AHMET ÖCAL,4388.0,430.0,423.0,450.0,456.0,420.0,10.0,10.0,10.0,10.0,10.0,A.ÖCAL
ADİL YILMAZ,2826.0,428.0,372.0,311.0,301.0,234.0,15.0,13.0,11.0,11.0,8.0,A.YILMAZ
MURAT TÜRKOĞLU,6171.0,428.0,439.0,529.0,564.0,583.0,7.0,7.0,9.0,9.0,9.0,M.TÜRKOĞLU
NURULLAH GÜVEN,4561.0,414.0,443.0,436.0,447.0,439.0,9.0,10.0,10.0,10.0,10.0,N.GÜVEN
MEHMET ARSLAN,4130.0,406.0,431.0,420.0,400.0,403.0,10.0,10.0,10.0,10.0,10.0,M.ARSLAN
HAKAN YÜZBAŞI,2588.0,403.0,357.0,305.0,290.0,245.0,16.0,14.0,12.0,11.0,9.0,H.YÜZBAŞI
BAHATTİN DAĞ,2484.0,399.0,314.0,289.0,248.0,260.0,16.0,13.0,12.0,10.0,10.0,B.DAĞ
AYTEKİN COŞKAN,2730.0,396.0,332.0,338.0,297.0,257.0,15.0,12.0,12.0,11.0,9.0,A.COŞKAN
CENGİZ TEKİN KÖSE,5225.0,386.0,427.0,524.0,555.0,572.0,7.0,8.0,10.0,11.0,11.0,C.T.KÖSE
ALPER CİĞER,2907.0,385.0,333.0,298.0,345.0,290.0,13.0,11.0,10.0,12.0,10.0,A.CİĞER
RAMAZAN TAŞDELEN,2970.0,384.0,332.0,360.0,333.0,304.0,13.0,11.0,12.0,11.0,10.0,R.TAŞDELEN
FATİH EMİR AKIL,3736.0,384.0,332.0,363.0,343.0,316.0,10.0,9.0,10.0,9.0,8.0,F.E.AKIL
ÜMİT ARSLAN,3190.0,382.0,364.0,325.0,335.0,324.0,12.0,11.0,10.0,11.0,10.0,Ü.ARSLAN
HÜSEYİN KARATAŞ,3225.0,380.0,362.0,329.0,322.0,316.0,12.0,11.0,10.0,10.0,10.0,H.KARATAŞ
CASIM KATI,3941.0,380.0,396.0,426.0,452.0,416.0,10.0,10.0,11.0,11.0,11.0,C.KATI
SAİT ÇELİK,4476.0,378.0,386.0,398.0,386.0,411.0,8.0,9.0,9.0,9.0,9.0,S.ÇELİK
ALİ RIZA AYDIN,4331.0,375.0,408.0,398.0,410.0,408.0,9.0,9.0,9.0,9.0,9.0,A.R.AYDIN
YAŞAR DEMİR,3466.0,372.0,373.0,385.0,343.0,355.0,11.0,11.0,11.0,10.0,10.0,Y.DEMİR
AZİZ BOZKURT,4065.0,370.0,383.0,367.0,376.0,400.0,9.0,9.0,9.0,9.0,10.0,A.BOZKURT
ALİCAN ÖKSÜZLER,3441.0,365.0,337.0,358.0,323.0,343.0,11.0,10.0,10.0,9.0,10.0,A.ÖKSÜZLER
DURAN TEKELİ,3652.0,364.0,330.0,358.0,350.0,333.0,10.0,9.0,10.0,10.0,9.0,D.TEKELİ
ERDAL ÇEŞME,4957.0,361.0,388.0,426.0,483.0,553.0,7.0,8.0,9.0,10.0,11.0,E.ÇEŞME
RASİM TETİK,3241.0,354.0,392.0,332.0,356.0,325.0,11.0,12.0,10.0,11.0,10.0,R.TETİK
İBRAHİM ÇAK,2587.0,352.0,334.0,283.0,257.0,281.0,14.0,13.0,11.0,10.0,11.0,İ.ÇAK
MELEK ÖZGÜL,4131.0,348.0,361.0,360.0,416.0,401.0,8.0,9.0,9.0,10.0,10.0,M.ÖZGÜL
CUMA ÇİÇEK,2825.0,346.0,318.0,321.0,283.0,256.0,12.0,11.0,11.0,10.0,9.0,C.ÇİÇEK
NİHAT KAYA,3609.0,345.0,345.0,385.0,355.0,379.0,10.0,10.0,11.0,10.0,11.0,N.KAYA
RAMAZAN COŞKUN,4270.0,345.0,372.0,417.0,410.0,446.0,8.0,9.0,10.0,10.0,10.0,R.COŞKUN
FERDİ GEYİK,3199.0,337.0,280.0,294.0,322.0,315.0,11.0,9.0,9.0,10.0,10.0,F.GEYİK
MEHMET GÜNEŞ,3662.0,337.0,314.0,349.0,359.0,336.0,9.0,9.0,10.0,10.0,9.0,M.GÜNEŞ
MELİH MEHMET İNAL,3504.0,335.0,360.0,318.0,330.0,346.0,10.0,10.0,9.0,9.0,10.0,M.M.İNAL
AYKUT ECEVİT BAŞ,3616.0,335.0,348.0,378.0,375.0,402.0,9.0,10.0,10.0,10.0,11.0,A.E.BAŞ
VEDAT ÖNDER,3475.0,334.0,347.0,355.0,348.0,350.0,10.0,10.0,10.0,10.0,10.0,V.ÖNDER
TAHİR KURT,2880.0,331.0,311.0,342.0,299.0,290.0,11.0,11.0,12.0,10.0,10.0,T.KURT
EKREM ŞENGEL,2196.0,330.0,302.0,288.0,252.0,204.0,15.0,14.0,13.0,11.0,9.0,E.ŞENGEL
ERHAN DIBLEN,2646.0,330.0,243.0,260.0,254.0,267.0,12.0,9.0,10.0,10.0,10.0,E.DIBLEN
KEMAL DEMİR,2329.0,324.0,306.0,242.0,261.0,210.0,14.0,13.0,10.0,11.0,9.0,K.DEMİR
EMİN KARATAŞ,2393.0,324.0,286.0,280.0,252.0,260.0,14.0,12.0,12.0,11.0,11.0,E.KARATAŞ
MEHMET ÖCAL,3733.0,323.0,318.0,363.0,332.0,349.0,9.0,9.0,10.0,9.0,9.0,M.ÖCAL
MAHMUT ZELYURT,2797.0,322.0,303.0,271.0,280.0,290.0,12.0,11.0,10.0,10.0,10.0,M.ZELYURT
FEHMİ DEMİR,3869.0,320.0,377.0,373.0,358.0,367.0,8.0,10.0,10.0,9.0,9.0,F.DEMİR
KENAN KAYALIK,3554.0,319.0,360.0,341.0,347.0,335.0,9.0,10.0,10.0,10.0,9.0,K.KAYALIK
GÖKHAN BALTA,3662.0,315.0,302.0,330.0,308.0,307.0,9.0,8.0,9.0,8.0,8.0,G.BALTA
SELÇUK TAŞBEK,2309.0,312.0,289.0,267.0,272.0,264.0,14.0,13.0,12.0,12.0,11.0,S.TAŞBEK
ASIM DUTAL,2653.0,311.0,282.0,256.0,281.0,242.0,12.0,11.0,10.0,11.0,9.0,A.DUTAL
ŞAKİR ÇELİK,2709.0,308.0,317.0,277.0,280.0,279.0,11.0,12.0,10.0,10.0,10.0,Ş.ÇELİK
MUZAFFER KILIÇSEREN,2989.0,308.0,286.0,317.0,279.0,293.0,10.0,10.0,11.0,9.0,10.0,M.KILIÇSEREN
YÜKSEL TALUK,3257.0,307.0,318.0,315.0,313.0,316.0,9.0,10.0,10.0,10.0,10.0,Y.TALUK
YASİN DEMİRKIRAN,2345.0,306.0,308.0,300.0,243.0,247.0,13.0,13.0,13.0,10.0,11.0,Y.DEMİRKIRAN
YUNUS İŞGÜZAR,3158.0,302.0,299.0,293.0,316.0,320.0,10.0,9.0,9.0,10.0,10.0,Y.İŞGÜZAR
MEHMET YÜCEDAĞ,4061.0,302.0,349.0,384.0,371.0,355.0,7.0,9.0,9.0,9.0,9.0,M.YÜCEDAĞ
VELİ ÇİZİK,3616.0,298.0,310.0,337.0,336.0,324.0,8.0,9.0,9.0,9.0,9.0,V.ÇİZİK
ŞEFİK ÖZDENİZ,2960.0,297.0,312.0,314.0,309.0,294.0,10.0,11.0,11.0,10.0,10.0,Ş.ÖZDENİZ
YAŞAR ARSLANCA,2841.0,296.0,287.0,300.0,303.0,289.0,10.0,10.0,11.0,11.0,10.0,Y.ARSLANCA
MUHARREM CAN,2358.0,295.0,264.0,222.0,229.0,198.0,13.0,11.0,9.0,10.0,8.0,M.CAN
SABAHATTİN KONUK,4076.0,295.0,307.0,316.0,334.0,347.0,7.0,8.0,8.0,8.0,9.0,S.KONUK
