Aygır,Ülke Adı,Irk Adı,Koşan Tay Adet,Kazanan Yavru Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
KAIZBERT,RUSYA(A),Arap,524.0,349.0,16084.0,2323.0,1976.0,1633.0,1522.0,1443.0,14.0,12.0,10.0,9.0,9.0,"378.905.826,46"
TURBO,TÜRKİYE,Arap,618.0,448.0,15978.0,2035.0,1894.0,1679.0,1637.0,1520.0,13.0,12.0,11.0,10.0,10.0,"399.720.470,64"
VICTORY GALLOP,KANADA,İngiliz,648.0,409.0,15094.0,1915.0,1828.0,1862.0,1779.0,1636.0,13.0,12.0,12.0,12.0,11.0,"294.509.232,35"
KANEKO,TÜRKİYE,İngiliz,557.0,397.0,12968.0,1859.0,1632.0,1513.0,1358.0,1314.0,14.0,13.0,12.0,10.0,10.0,"246.745.415,04"
ROYAL ABJAR,ABD,İngiliz,475.0,322.0,13651.0,1673.0,1576.0,1450.0,1417.0,1405.0,12.0,12.0,11.0,10.0,10.0,"80.301.016,36"
LION HEART,ABD,İngiliz,710.0,444.0,13026.0,1591.0,1502.0,1567.0,1382.0,1383.0,12.0,12.0,12.0,11.0,11.0,"230.918.208,88"
BOSPORUS,İRLANDA,İngiliz,479.0,321.0,12375.0,1493.0,1425.0,1389.0,1241.0,1278.0,12.0,12.0,11.0,10.0,10.0,"128.163.523,34"
UNACCOUNTED FOR,ABD,İngiliz,397.0,275.0,10117.0,1393.0,1196.0,1090.0,1054.0,1046.0,14.0,12.0,11.0,10.0,10.0,"82.278.670,96"
MOUNTAIN CAT,ABD,İngiliz,590.0,362.0,12299.0,1335.0,1318.0,1261.0,1282.0,1135.0,11.0,11.0,10.0,10.0,9.0,"76.668.615,50"
HABERBATUR,TÜRKİYE,Arap,446.0,276.0,13108.0,1261.0,1259.0,1343.0,1313.0,1247.0,10.0,10.0,10.0,10.0,10.0,"64.128.190,42"
STRIKE THE GOLD,ABD,İngiliz,418.0,280.0,10943.0,1227.0,1191.0,1188.0,1143.0,1070.0,11.0,11.0,11.0,10.0,10.0,"65.466.266,16"
ÖZGÜNHAN,TÜRKİYE,Arap,322.0,233.0,9306.0,1205.0,1130.0,1053.0,1035.0,950.0,13.0,12.0,11.0,11.0,10.0,"233.291.159,26"
BİLGİN,TÜRKİYE,Arap,305.0,218.0,10836.0,1171.0,1244.0,1230.0,1135.0,1086.0,11.0,11.0,11.0,10.0,10.0,"123.985.573,28"
HİLALÜZZAMAN.25,TÜRKİYE,Arap,164.0,138.0,8859.0,1103.0,1033.0,961.0,898.0,790.0,12.0,12.0,11.0,10.0,9.0,"5.801.774,50"
GOBAKBEY,TÜRKİYE,Arap,333.0,221.0,9710.0,1072.0,1059.0,1048.0,1011.0,937.0,11.0,11.0,11.0,10.0,10.0,"77.476.274,38"
WIN RIVER WIN,ABD,İngiliz,442.0,255.0,9443.0,1021.0,1054.0,1032.0,1039.0,1010.0,11.0,11.0,11.0,11.0,11.0,"135.099.724,01"
SRI PEKAN,ABD,İngiliz,422.0,239.0,8402.0,968.0,794.0,863.0,791.0,784.0,12.0,9.0,10.0,9.0,9.0,"56.997.403,35"
LUXOR,TÜRKİYE,İngiliz,406.0,224.0,6385.0,928.0,808.0,746.0,656.0,623.0,15.0,13.0,12.0,10.0,10.0,"194.674.869,21"
EAGLE EYED,ABD,İngiliz,430.0,229.0,9902.0,903.0,987.0,948.0,992.0,897.0,9.0,10.0,10.0,10.0,9.0,"40.346.897,11"
TAMERİNOĞLU,TÜRKİYE,Arap,264.0,194.0,7780.0,900.0,882.0,924.0,896.0,817.0,12.0,11.0,12.0,12.0,11.0,"171.288.485,00"
ALTAHA,TÜRKİYE,Arap,198.0,154.0,7671.0,860.0,857.0,867.0,846.0,725.0,11.0,11.0,11.0,11.0,9.0,"151.760.046,25"
MENDIP,ABD,İngiliz,368.0,232.0,6587.0,834.0,844.0,691.0,741.0,722.0,13.0,13.0,10.0,11.0,11.0,"211.836.230,63"
SEKLAVİ.31,TÜRKİYE,Arap,115.0,101.0,7170.0,827.0,861.0,824.0,831.0,766.0,12.0,12.0,11.0,12.0,11.0,",00"
YONAGUSKA,ABD,İngiliz,275.0,167.0,6321.0,801.0,698.0,678.0,648.0,670.0,13.0,11.0,11.0,10.0,11.0,"68.809.622,50"
DORUHAN,TÜRKİYE,Arap,92.0,86.0,5458.0,795.0,730.0,705.0,627.0,531.0,15.0,13.0,13.0,11.0,10.0,",00"
DEMİRKIR,TÜRKİYE,Arap,158.0,120.0,6914.0,764.0,779.0,728.0,748.0,711.0,11.0,11.0,11.0,11.0,10.0,"31.874.415,00"
SEA HERO,ABD,İngiliz,419.0,211.0,8888.0,737.0,827.0,845.0,929.0,943.0,8.0,9.0,10.0,10.0,11.0,"33.813.691,15"
CAŞ,TÜRKİYE,Arap,182.0,128.0,5418.0,726.0,606.0,566.0,523.0,540.0,13.0,11.0,10.0,10.0,10.0,"58.300.697,00"
WEST BY WEST,ABD,İngiliz,319.0,181.0,7450.0,723.0,715.0,739.0,730.0,732.0,10.0,10.0,10.0,10.0,10.0,"31.691.452,68"
ALWAYS A CLASSIC,KANADA,İngiliz,389.0,215.0,7565.0,703.0,804.0,734.0,681.0,702.0,9.0,11.0,10.0,9.0,9.0,"35.279.087,53"
CANBERK,TÜRKİYE,Arap,92.0,82.0,4738.0,681.0,648.0,581.0,531.0,577.0,14.0,14.0,12.0,11.0,12.0,",00"
CUVEE,ABD,İngiliz,275.0,173.0,5398.0,676.0,632.0,670.0,579.0,513.0,13.0,12.0,12.0,11.0,10.0,"62.170.565,01"
SAĞANAK,TÜRKİYE,Arap,322.0,181.0,6910.0,662.0,622.0,633.0,704.0,684.0,10.0,9.0,9.0,10.0,10.0,"31.366.848,75"
TOROK,İRLANDA,İngiliz,277.0,182.0,4440.0,654.0,590.0,570.0,511.0,439.0,15.0,13.0,13.0,12.0,10.0,"242.894.531,25"
