Jokey,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Jokey Kısaltması
HALİS KARATAŞ,26307.0,7156.0,5051.0,3919.0,2974.0,2189.0,27.0,19.0,15.0,11.0,8.0,H.KARATAŞ
MEHMET KAYA,24067.0,3681.0,3424.0,3132.0,2936.0,2575.0,15.0,14.0,13.0,12.0,11.0,M.KAYA
SÜLEYMAN AKDI,13136.0,3625.0,2508.0,1838.0,1443.0,977.0,28.0,19.0,14.0,11.0,7.0,S.AKDI
AHMET ÇELİK,17808.0,3193.0,2810.0,2579.0,2226.0,1786.0,18.0,16.0,14.0,12.0,10.0,A.ÇELİK
GÖKHAN KOCAKAYA,17087.0,3135.0,2679.0,2410.0,2111.0,1852.0,18.0,16.0,14.0,12.0,11.0,G.KOCAKAYA
ÖZCAN YILDIRIM,18991.0,3132.0,2734.0,2426.0,2192.0,1639.0,16.0,14.0,13.0,12.0,9.0,Ö.YILDIRIM
SELİM KAYA,14069.0,3038.0,2427.0,1896.0,1532.0,1225.0,22.0,17.0,13.0,11.0,9.0,S.KAYA
SADETTİN BOYRAZ,21315.0,2847.0,2795.0,2630.0,2465.0,1947.0,13.0,13.0,12.0,12.0,9.0,S.BOYRAZ
AKIN SÖZEN,19817.0,2654.0,2654.0,2559.0,2402.0,2251.0,13.0,13.0,13.0,12.0,11.0,A.SÖZEN
AKIN ÖZDENİZ,11818.0,2128.0,1993.0,1662.0,1474.0,1005.0,18.0,17.0,14.0,12.0,9.0,A.ÖZDENİZ
AHMET ATCI,13769.0,2078.0,2273.0,2122.0,1938.0,1503.0,15.0,17.0,15.0,14.0,11.0,A.ATCI
NURETTİN ŞEN,19422.0,2052.0,2083.0,2052.0,2078.0,2093.0,11.0,11.0,11.0,11.0,11.0,N.ŞEN
MÜSLÜM ÇELİK,13128.0,2010.0,1825.0,1715.0,1571.0,1406.0,15.0,14.0,13.0,12.0,11.0,M.ÇELİK
ABDULKADİR ALTINÖZ,10408.0,2006.0,1864.0,1540.0,1350.0,1070.0,19.0,18.0,15.0,13.0,10.0,A.ALTINÖZ
FUAT ÇAKAR,12829.0,1974.0,1766.0,1646.0,1438.0,1172.0,15.0,14.0,13.0,11.0,9.0,F.ÇAKAR
MUSTAFA ÇİÇEK,12609.0,1932.0,1833.0,1745.0,1582.0,1359.0,15.0,15.0,14.0,13.0,11.0,M.ÇİÇEK
AYHAN KURŞUN,13868.0,1859.0,1652.0,1760.0,1710.0,1533.0,13.0,12.0,13.0,12.0,11.0,A.KURŞUN
KADİR TOKAÇOĞLU,12291.0,1772.0,1559.0,1432.0,1185.0,1025.0,14.0,13.0,12.0,10.0,8.0,K.TOKAÇOĞLU
FERİT YARDIMCI,11584.0,1728.0,1278.0,1199.0,1129.0,1039.0,15.0,11.0,10.0,10.0,9.0,F.YARDIMCI
YEMEN TUNÇ,14865.0,1633.0,1724.0,1696.0,1697.0,1813.0,11.0,12.0,11.0,11.0,12.0,Y.TUNÇ
ÖMER KAYA,12891.0,1570.0,1527.0,1472.0,1415.0,1283.0,12.0,12.0,11.0,11.0,10.0,Ö.KAYA
ERHAN YAVUZ,12097.0,1555.0,1519.0,1402.0,1296.0,1161.0,13.0,13.0,12.0,11.0,10.0,E.YAVUZ
GÖKHAN GÖKÇE,14182.0,1463.0,1557.0,1531.0,1596.0,1527.0,10.0,11.0,11.0,11.0,11.0,G.GÖKÇE
TUNAY ADIŞEN,9788.0,1355.0,1457.0,1448.0,1287.0,1087.0,14.0,15.0,15.0,13.0,11.0,T.ADIŞEN
NEVZAT AVCİ,9923.0,1301.0,1246.0,1238.0,1143.0,1111.0,13.0,13.0,12.0,12.0,11.0,N.AVCİ
HIŞMAN ÇİZİK,9854.0,1271.0,1236.0,1259.0,1175.0,1095.0,13.0,13.0,13.0,12.0,11.0,H.ÇİZİK
MURAT GÜNDÜZELİ,9908.0,1270.0,1111.0,1036.0,1005.0,898.0,13.0,11.0,10.0,10.0,9.0,M.GÜNDÜZELİ
NECMİ ALTIN,9861.0,1254.0,1209.0,1133.0,1009.0,1010.0,13.0,12.0,11.0,10.0,10.0,N.ALTIN
EKREM KURT,4205.0,1237.0,875.0,656.0,437.0,331.0,29.0,21.0,16.0,10.0,8.0,E.KURT
YALÇIN AKAĞAÇ,10588.0,1236.0,1293.0,1317.0,1164.0,1048.0,12.0,12.0,12.0,11.0,10.0,Y.AKAĞAÇ
SEDAT OKUMUŞ,5916.0,1164.0,1058.0,882.0,688.0,711.0,20.0,18.0,15.0,12.0,12.0,S.OKUMUŞ
MEHMET AKYAVUZ,9318.0,1135.0,1117.0,1103.0,1126.0,990.0,12.0,12.0,12.0,12.0,11.0,M.AKYAVUZ
ARSLAN BİRDAL,9368.0,1103.0,962.0,971.0,995.0,924.0,12.0,10.0,10.0,11.0,10.0,A.BİRDAL
TOLGA YILDIZ,9387.0,1101.0,1039.0,1021.0,977.0,955.0,12.0,11.0,11.0,10.0,10.0,T.YILDIZ
MÜMİN ÇILGIN,5431.0,1080.0,980.0,754.0,653.0,551.0,20.0,18.0,14.0,12.0,10.0,M.ÇILGIN
VEDAT ABİŞ,5044.0,1022.0,815.0,686.0,693.0,547.0,20.0,16.0,14.0,14.0,11.0,V.ABİŞ
ERTUL CANKILIÇ,8483.0,1020.0,1040.0,1059.0,1011.0,780.0,12.0,12.0,12.0,12.0,9.0,E.CANKILIÇ
KAZIM YILDIZ,5762.0,1018.0,854.0,843.0,745.0,718.0,18.0,15.0,15.0,13.0,12.0,K.YILDIZ
UĞUR POLAT,6882.0,1006.0,981.0,918.0,841.0,676.0,15.0,14.0,13.0,12.0,10.0,U.POLAT
