Kısrak,Ülke Adı,Irk Adı,Koşan Tay Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
MEBRUKE.52,TÜRKİYE,Arap,14.0,975.0,153.0,91.0,90.0,92.0,88.0,16.0,9.0,9.0,9.0,9.0,",00"
NEAME.39,TÜRKİYE,Arap,11.0,603.0,134.0,98.0,82.0,82.0,53.0,22.0,16.0,14.0,14.0,9.0,"5.125.581,50"
KEMİYETÜLIRAK.26,TÜRKİYE,Arap,12.0,644.0,129.0,85.0,68.0,69.0,50.0,20.0,13.0,11.0,11.0,8.0,"383.749,00"
MENCULE.11,TÜRKİYE,Arap,13.0,806.0,129.0,106.0,92.0,95.0,90.0,16.0,13.0,11.0,12.0,11.0,",00"
SEYYARE.55,TÜRKİYE,Arap,14.0,747.0,128.0,93.0,72.0,75.0,64.0,17.0,12.0,10.0,10.0,9.0,"11.459.860,00"
SEYYARE.37,TÜRKİYE,Arap,11.0,927.0,118.0,125.0,110.0,105.0,77.0,13.0,13.0,12.0,11.0,8.0,"1.858.183,00"
ZEHRA.61,TÜRKİYE,Arap,9.0,951.0,117.0,124.0,105.0,107.0,124.0,12.0,13.0,11.0,11.0,13.0,",00"
KEMİYETÜLIRAK.55,TÜRKİYE,Arap,11.0,627.0,112.0,110.0,102.0,86.0,60.0,18.0,18.0,16.0,14.0,10.0,"8.421.741,20"
MENCULE.47,TÜRKİYE,Arap,10.0,894.0,111.0,127.0,120.0,101.0,89.0,12.0,14.0,13.0,11.0,10.0,"4.770.015,00"
KEMİYETÜLIRAK.16,TÜRKİYE,Arap,11.0,882.0,110.0,127.0,111.0,107.0,98.0,12.0,14.0,13.0,12.0,11.0,",00"
MARAL,TÜRKİYE,İngiliz,9.0,586.0,109.0,101.0,94.0,81.0,78.0,19.0,17.0,16.0,14.0,13.0,",00"
MEBRUKE.87,TÜRKİYE,Arap,15.0,881.0,108.0,113.0,113.0,81.0,83.0,12.0,13.0,13.0,9.0,9.0,"5.264.575,00"
CAHİDE.67,TÜRKİYE,Arap,11.0,866.0,107.0,136.0,119.0,108.0,84.0,12.0,16.0,14.0,12.0,10.0,"4.264.779,00"
MEBRUKE.75,TÜRKİYE,Arap,9.0,710.0,105.0,86.0,68.0,81.0,81.0,15.0,12.0,10.0,11.0,11.0,"2.506.366,00"
FAZILA.18,TÜRKİYE,Arap,12.0,681.0,105.0,105.0,84.0,84.0,69.0,15.0,15.0,12.0,12.0,10.0,"11.678,00"
MESRURE.29,TÜRKİYE,Arap,11.0,809.0,104.0,86.0,96.0,82.0,104.0,13.0,11.0,12.0,10.0,13.0,"3.256,00"
BEDEL.2,TÜRKİYE,Arap,10.0,333.0,100.0,50.0,28.0,25.0,20.0,30.0,15.0,8.0,8.0,6.0,"17.620.687,50"
SABIKA.68,TÜRKİYE,Arap,9.0,568.0,100.0,94.0,50.0,62.0,53.0,18.0,17.0,9.0,11.0,9.0,"2.278.955,50"
ALMİMRUHİYE.12,TÜRKİYE,Arap,12.0,805.0,100.0,95.0,102.0,92.0,87.0,12.0,12.0,13.0,11.0,11.0,"757.082,00"
ZAFİRE.5.,TÜRKİYE,Arap,8.0,588.0,99.0,80.0,74.0,68.0,60.0,17.0,14.0,13.0,12.0,10.0,",00"
ZAFİRE.6.,TÜRKİYE,Arap,11.0,737.0,99.0,78.0,97.0,94.0,84.0,13.0,11.0,13.0,13.0,11.0,",00"
SEYYARE.14,TÜRKİYE,Arap,10.0,879.0,99.0,93.0,132.0,113.0,94.0,11.0,11.0,15.0,13.0,11.0,",00"
HANEDAN,TÜRKİYE,Arap,14.0,730.0,98.0,96.0,87.0,82.0,93.0,13.0,13.0,12.0,11.0,13.0,"10.955.018,75"
TURFETÜNNUR.7.,TÜRKİYE,Arap,7.0,597.0,97.0,89.0,86.0,77.0,86.0,16.0,15.0,14.0,13.0,14.0,",00"
MENCULE.18,TÜRKİYE,Arap,11.0,710.0,97.0,65.0,73.0,86.0,61.0,14.0,9.0,10.0,12.0,9.0,",00"
SABIKA.70,TÜRKİYE,Arap,10.0,528.0,95.0,67.0,58.0,46.0,53.0,18.0,13.0,11.0,9.0,10.0,"2.502.228,00"
TURFETÜNNUR.12,TÜRKİYE,Arap,8.0,658.0,95.0,74.0,67.0,55.0,74.0,14.0,11.0,10.0,8.0,11.0,"276.694,50"
KALAMIŞ ESİNTİSİ,TÜRKİYE,Arap,12.0,501.0,94.0,70.0,47.0,58.0,45.0,19.0,14.0,9.0,12.0,9.0,"7.998.461,70"
MESRURE.27,TÜRKİYE,Arap,6.0,484.0,93.0,61.0,73.0,51.0,63.0,19.0,13.0,15.0,11.0,13.0,",00"
KEMİYETÜLIRAK.18,TÜRKİYE,Arap,8.0,653.0,93.0,122.0,88.0,82.0,81.0,14.0,19.0,13.0,13.0,12.0,",00"
SAPHA.29,TÜRKİYE,Arap,9.0,750.0,92.0,106.0,74.0,78.0,85.0,12.0,14.0,10.0,10.0,11.0,"3.661.870,00"
SEYYARE.27,TÜRKİYE,Arap,10.0,824.0,91.0,99.0,103.0,107.0,97.0,11.0,12.0,12.0,13.0,12.0,",00"
MEBRUKE.70,TÜRKİYE,Arap,9.0,450.0,90.0,43.0,56.0,39.0,54.0,20.0,10.0,12.0,9.0,12.0,"446.547,00"
SEYYARE.17,TÜRKİYE,Arap,8.0,661.0,90.0,89.0,90.0,71.0,81.0,14.0,13.0,14.0,11.0,12.0,",00"
SABIKA.52,TÜRKİYE,Arap,10.0,965.0,90.0,99.0,107.0,105.0,103.0,9.0,10.0,11.0,11.0,11.0,"1.055.852,50"
ZEHRA.24,TÜRKİYE,Arap,6.0,574.0,89.0,76.0,70.0,74.0,70.0,16.0,13.0,12.0,13.0,12.0,",00"
HANDAN.1,TÜRKİYE,Arap,6.0,361.0,88.0,59.0,47.0,27.0,29.0,24.0,16.0,13.0,7.0,8.0,"3.325.570,00"
ZAHİDE.29,TÜRKİYE,Arap,15.0,543.0,88.0,66.0,56.0,59.0,54.0,16.0,12.0,10.0,11.0,10.0,"1.114.411,00"
ALMİMRUHİYE.27,TÜRKİYE,Arap,13.0,749.0,88.0,71.0,83.0,61.0,52.0,12.0,9.0,11.0,8.0,7.0,"8.164.245,00"
KİRAZKIZI,TÜRKİYE,Arap,11.0,508.0,86.0,57.0,59.0,59.0,43.0,17.0,11.0,12.0,12.0,8.0,"12.601.317,50"
NEAME.52,TÜRKİYE,Arap,11.0,564.0,86.0,72.0,38.0,42.0,38.0,15.0,13.0,7.0,7.0,7.0,"6.283.322,50"
MATRA.48,TÜRKİYE,Arap,7.0,796.0,86.0,104.0,106.0,110.0,91.0,11.0,13.0,13.0,14.0,11.0,"3.680.831,80"
ŞERZETÜLHAVVA.36,TÜRKİYE,Arap,9.0,608.0,84.0,86.0,60.0,76.0,76.0,14.0,14.0,10.0,12.0,12.0,",00"
ÇİLEK.1961,TÜRKİYE,Arap,8.0,663.0,83.0,81.0,81.0,92.0,47.0,13.0,12.0,12.0,14.0,7.0,",00"
ZEHRA.55,TÜRKİYE,Arap,8.0,545.0,82.0,70.0,91.0,51.0,44.0,15.0,13.0,17.0,9.0,8.0,",00"
MENCULE.23,TÜRKİYE,Arap,11.0,624.0,82.0,64.0,60.0,71.0,68.0,13.0,10.0,10.0,11.0,11.0,"64.863,00"
CAHİDE.23,TÜRKİYE,Arap,8.0,653.0,82.0,110.0,82.0,88.0,58.0,13.0,17.0,13.0,13.0,9.0,",00"
FREE GOLD,TÜRKİYE,İngiliz,14.0,482.0,81.0,70.0,77.0,66.0,61.0,17.0,15.0,16.0,14.0,13.0,",00"
MESRURE.28,TÜRKİYE,Arap,8.0,563.0,81.0,65.0,58.0,57.0,64.0,14.0,12.0,10.0,10.0,11.0,"214.913,00"
GUFRE.17,TÜRKİYE,Arap,9.0,576.0,81.0,69.0,69.0,71.0,74.0,14.0,12.0,12.0,12.0,13.0,",00"
SEVİNÇKAN,TÜRKİYE,Arap,7.0,534.0,79.0,67.0,91.0,60.0,64.0,15.0,13.0,17.0,11.0,12.0,"10.041.081,25"
SABIKA.73,TÜRKİYE,Arap,9.0,584.0,79.0,81.0,76.0,76.0,54.0,14.0,14.0,13.0,13.0,9.0,"4.017.960,00"
ZAFİRE.8.,TÜRKİYE,Arap,6.0,569.0,79.0,64.0,63.0,51.0,66.0,14.0,11.0,11.0,9.0,12.0,"21.628,50"
MALIBU GIRL,ABD(A),Arap,9.0,338.0,78.0,58.0,47.0,46.0,25.0,23.0,17.0,14.0,14.0,7.0,"7.055.158,00"
BAĞGÜZELİ,TÜRKİYE,Arap,12.0,408.0,78.0,56.0,33.0,40.0,34.0,19.0,14.0,8.0,10.0,8.0,"7.763.058,75"
