Sahip,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%
DENİZ KURTEL,5373.0,811.0,722.0,636.0,624.0,467.0,15.0,13.0,12.0,12.0,9.0
REMAZAN KAYA,9096.0,654.0,701.0,793.0,845.0,927.0,7.0,8.0,9.0,9.0,10.0
N.AREK KUYUMCİYAN,3430.0,551.0,497.0,472.0,401.0,378.0,16.0,14.0,14.0,12.0,11.0
NURBİYE GÜLERCE,2682.0,513.0,388.0,355.0,329.0,263.0,19.0,14.0,13.0,12.0,10.0
KEMAL KURT,4011.0,512.0,445.0,467.0,464.0,396.0,13.0,11.0,12.0,12.0,10.0
ALAATTİN KARACA,4859.0,509.0,532.0,495.0,480.0,501.0,10.0,11.0,10.0,10.0,10.0
NİMET ARİF KURTEL,3379.0,508.0,459.0,415.0,378.0,343.0,15.0,14.0,12.0,11.0,10.0
MELİS KURTEL EMİN,3347.0,506.0,446.0,403.0,357.0,320.0,15.0,13.0,12.0,11.0,10.0
TAYRAL TUTUMLU,2972.0,499.0,398.0,351.0,298.0,285.0,17.0,13.0,12.0,10.0,10.0
BARAN D. CEMİLOĞLU,2490.0,455.0,359.0,326.0,297.0,213.0,18.0,14.0,13.0,12.0,9.0
KAYA KAYA,7252.0,443.0,535.0,611.0,664.0,741.0,6.0,7.0,8.0,9.0,10.0
MEVLÜT TANİYİT,4069.0,416.0,420.0,438.0,399.0,423.0,10.0,10.0,11.0,10.0,10.0
H.TARIK DİKENCİK,5080.0,405.0,420.0,474.0,471.0,535.0,8.0,8.0,9.0,9.0,11.0
MAHMUT KARAKEÇİ,2914.0,399.0,336.0,309.0,287.0,276.0,14.0,12.0,11.0,10.0,9.0
ERDOĞAN ŞENOCAKLI,1965.0,355.0,297.0,244.0,250.0,176.0,18.0,15.0,12.0,13.0,9.0
SÜRMELİ KARACA,3689.0,355.0,383.0,359.0,344.0,324.0,10.0,10.0,10.0,9.0,9.0
MEHMET ÇELİK,3211.0,352.0,341.0,291.0,314.0,297.0,11.0,11.0,9.0,10.0,9.0
ŞERAFETTİN GEDİK,2528.0,351.0,368.0,294.0,286.0,246.0,14.0,15.0,12.0,11.0,10.0
İSMAİL HADİOĞLU,2740.0,340.0,328.0,282.0,288.0,246.0,12.0,12.0,10.0,11.0,9.0
GÜLNUR GÜLERCE,1706.0,339.0,286.0,234.0,175.0,134.0,20.0,17.0,14.0,10.0,8.0
MUSTAFA KAYA,4516.0,338.0,343.0,394.0,438.0,461.0,7.0,8.0,9.0,10.0,10.0
T. İZZET AKSOY,2059.0,336.0,303.0,250.0,260.0,200.0,16.0,15.0,12.0,13.0,10.0
